"Fecha y Hora","km totales","kWh facturados","Precio Total (€)","Eficiencia (kWh/100)","Tipo de cargador","Precio kW","Porcentaje final de carga"
"2025-12-07 07:56","8240","24.89","1.90","99.56","csv_1768489014325_4","0.09","100.00"
"2025-12-06 13:14","8215","39.75","0.00","22.84","csv_1768489014325_2","0.0","69.47"
"2025-12-01 17:11","8041","27.12","5.33","32.29","csv_1768489014325_1","0.211","70.62"
"2025-11-29 09:55","7957","18.42","1.64","76.75","csv_1768489014325_4","0.105","63.69"
"2025-11-28 17:58","7933","8.61","0.00","47.83","csv_1768489014325_1","0.0","54.37"
"2025-11-28 15:39","7915","34.33","6.52","17.00","csv_1768489014325_1","0.204","50.49"
"2025-11-23 15:36","7713","38.46","2.94","30.52","csv_1768489014325_4","0.09","65.26"
"2025-11-21 11:01","7587","4.71","1.63","3.80","csv_1768489014325_1","0.372","64.68"
"2025-11-14 14:38","7463","46.61","9.03","46.15","csv_1768489014325_2","0.204","100.00"
"2025-11-10 12:40","7362","35.39","0.00","141.56","csv_1768489014325_2","0.0","58.16"
"2025-11-09 11:49","7337","24.22","1.85","11.27","csv_1768489014325_4","0.09","31.68"
"2025-11-08 17:39","7122","10.64","6.59","17.44","csv_1768489014325_2","0.652","58.41"
"2025-11-07 19:40","7061","4.41","2.28","6.68","csv_1768489014325_1","0.556","59.32"
"2025-11-07 14:40","6995","17.96","6.40","10.88","csv_1768489014325_2","0.375","67.57"
"2025-11-07 09:37","6830","2.95","0.52","42.14","csv_1768489014325_4","0.206","81.84"
"2025-11-06 17:43","6823","19.00","3.64","271.43","csv_1768489014325_1","0.206","81.10"
"2025-11-06 15:43","6816","25.15","0.00","21.68","csv_1768489014325_2","0.0","65.84"
"2025-11-03 10:56","6700","41.22","0.00","35.84","csv_1768489014325_2","0.0","66.83"
"2025-10-31 18:51","6585","7.80","2.70","6.55","csv_1768489014325_2","0.365","54.29"
"2025-10-29 17:25","6466","35.44","0.00","26.85","csv_1768489014325_2","0.0","67.90"
"2025-10-25 12:28","6334","14.30","0.00","25.09","csv_1768489014325_2","0.0","66.41"
"2025-10-24 16:00","6277","27.41","0.00","22.28","csv_1768489014325_1","0.0","66.17"
"2025-10-21 16:32","6154","28.12","5.46","22.68","csv_1768489014325_1","0.209","66.41"
"2025-10-17 18:11","6030","11.46","0.40","7.25","csv_1768489014325_1","0.038","64.60"
"2025-10-13 17:43","5872","13.73","8.23","343.25","csv_1768489014325_2","0.631","75.98"
"2025-10-13 17:18","5868","1.58","0.00","12.15","csv_1768489014325_2","0.0","65.01"
"2025-10-13 10:15","5855","59.89","0.00","19.57","csv_1768489014325_2","0.0","66.41"
"2025-10-10 15:38","5549","28.52","12.06","0.00","csv_1768489014325_1","0.455","73.67"
"2025-10-10 15:36","5549","24.63","12.38","9.16","csv_1768489014325_1","0.541","50.00"
"2025-10-09 13:13","5280","11.31","0.00","102.82","csv_1768489014325_2","0.0","78.71"
"2025-10-09 10:14","5269","34.21","0.00","30.01","csv_1768489014325_2","0.0","71.20"
"2025-10-06 10:18","5155","38.80","0.00","215.56","csv_1768489014325_2","0.0","66.33"
"2025-10-06 10:16","5137","20.35","2.33","18.67","csv_1768489014325_4","0.135","37.21"
"2025-10-03 16:01","5028","18.37","0.00","9.37","csv_1768489014325_2","0.0","43.23"
"2025-09-29 10:34","4832","29.36","0.00","25.53","csv_1768489014325_1","0.0","66.58"
"2025-09-27 09:17","4717","22.68","2.85","119.37","csv_1768489014325_1","0.135","62.04"
"2025-09-26 19:21","4698","10.76","0.00","4.52","csv_1768489014325_1","0.0","47.19"
"2025-09-21 08:34","4460","17.75","2.23","84.52","csv_1768489014325_1","0.135","100.00"
"2025-09-20 15:58","4439","45.17","0.00","22.25","csv_1768489014325_2","0.0","72.19"
"2025-09-18 11:20","4236","46.94","0.00","24.97","csv_1768489014325_2","0.0","66.99"
"2025-09-13 11:12","4048","13.19","0.00","17.82","csv_1768489014325_2","0.0","66.25"
"2025-09-12 13:33","3974","35.54","0.00","1184.67","csv_1768489014325_2","0.0","69.47"
"2025-09-12 12:21","3971","14.53","0.26","6.92","csv_1768489014325_1","0.019","33.17"
"2025-09-07 08:49","3761","35.76","3.49","19.43","csv_1768489014325_4","0.115","61.96"
"2025-09-04 10:32","3577","29.87","0.00","12.19","csv_1768489014325_2","0.0","66.41"
"2025-09-01 13:45","3332","16.04","2.83","69.74","csv_1768489014325_1","0.19","100.00"
"2025-09-01 09:52","3309","17.96","0.00","78.09","csv_1768489014325_2","0.0","76.40"
"2025-09-01 08:23","3286","13.35","1.30","15.17","csv_1768489014325_4","0.115","63.86"
"2025-08-31 09:51","3198","16.79","1.64","0.00","csv_1768489014325_4","0.115","69.47"
"2025-08-30 22:09","3198","7.66","0.75","255.33","csv_1768489014325_4","0.115","57.01"
"2025-08-30 16:14","3195","18.86","1.84","34.93","csv_1768489014325_4","0.115","52.22"
"2025-08-29 09:22","3141","13.42","1.31","8.83","csv_1768489014325_4","0.115","47.77"
"2025-08-25 17:45","2989","24.16","0.00","115.05","csv_1768489014325_2","0.0","65.01"
"2025-08-25 07:53","2968","18.16","1.78","8.11","csv_1768489014325_4","0.115","44.96"
