"Fecha y Hora","km totales","kWh facturados","Precio Total (€)","Eficiencia (kWh/100)","Tipo de cargador","Precio kW","Porcentaje final de carga"
"2025-11-08 17:39","7122","10.64","6.59","18.05","Carga Rápida","0.652","58.41"
"2025-11-07 19:40","7061","4.41","2.28","18.71","Carga lenta","0.556","59.32"
"2025-11-07 14:40","6995","17.96","6.40","18.99","Carga Rápida","0.375","67.57"
"2025-11-07 09:37","6830","2.95","0.52","25.14","240V","0.206","81.84"
"2025-11-06 17:43","6823","19.00","3.64","34.43","Carga lenta","0.206","81.1"
"2025-11-06 15:43","6816","25.15","0.00","21.45","Carga Rápida","0.0","65.84"
"2025-11-03 10:56","6700","41.22","0.00","23.14","Carga Rápida","0.0","66.83"
"2025-10-31 18:51","6585","7.80","2.70","17.66","Carga Rápida","0.365","54.29"
"2025-10-29 17:25","6466","35.44","0.00","24.37","Carga Rápida","0.0","67.9"
"2025-10-25 12:28","6334","14.30","0.00","23.40","Carga Rápida","0.0","66.41"
"2025-10-24 16:00","6277","27.41","0.00","20.92","Carga lenta","0.0","66.17"
"2025-10-21 16:32","6154","28.12","5.46","19.63","Carga lenta","0.209","66.41"
"2025-10-17 18:11","6030","11.46","0.40","13.94","Carga lenta","0.038","64.6"
"2025-10-13 17:43","5872","13.73","8.23","51.75","Carga Rápida","0.631","75.98"
"2025-10-13 17:18","5868","1.58","0.00","22.31","Carga Rápida","0.0","65.01"
"2025-10-13 10:15","5855","59.89","0.00","13.23","Carga Rápida","0.0","66.41"
"2025-10-10 15:36","5549","24.63","12.38","29.05","Carga lenta","0.541","50.0"
"2025-10-10 15:38","5549","28.52","12.06","20.25","Carga lenta","0.455","73.67"
"2025-10-09 13:13","5280","11.31","0.00","29.36","Carga Rápida","0.0","78.71"
"2025-10-09 10:14","5269","34.21","0.00","24.23","Carga Rápida","0.0","71.2"
"2025-10-06 10:18","5155","38.80","0.00","43.00","Carga Rápida","0.0","66.33"
"2025-10-06 10:16","5137","20.35","2.33","21.39","240V","0.135","37.21"
"2025-10-03 16:01","5028","18.37","0.00","20.82","Carga Rápida","0.0","43.23"
"2025-09-29 10:34","4832","29.36","0.00","19.79","Carga lenta","0.0","66.58"
"2025-09-27 09:17","4717","22.68","2.85","32.84","Carga lenta","0.135","62.04"
"2025-09-26 19:21","4698","10.76","0.00","19.04","Carga lenta","0.0","47.19"
"2025-09-21 08:34","4460","17.75","2.23","29.48","Carga lenta","0.135","100.00"
"2025-09-20 15:58","4439","45.17","0.00","18.58","Carga Rápida","0.0","72.19"
"2025-09-18 11:20","4236","46.94","0.00","23.32","Carga Rápida","0.0","66.99"
"2025-09-13 11:12","4048","13.19","0.00","21.28","Carga Rápida","0.0","66.25"
"2025-09-12 13:33","3974","35.54","0.00","-84.67","Carga Rápida","0.0","69.47"
"2025-09-12 12:21","3971","14.53","0.26","20.14","Carga lenta","0.019","33.17"
"2025-09-07 08:49","3761","35.76","3.49","18.93","240V","0.115","61.96"
"2025-09-04 10:32","3577","29.87","0.00","18.15","Carga Rápida","0.0","66.41"
"2025-09-01 13:45","3332","16.04","2.83","38.30","Carga lenta","0.19","100.00"
"2025-09-01 09:52","3309","17.96","0.00","19.66","Carga Rápida","0.0","76.4"
"2025-09-01 08:23","3286","13.35","1.30","5.10","240V","0.115","63.86"
"2025-08-30 22:09","3198","7.66","0.75","533.00","240V","0.115","57.01"
"2025-08-31 09:51","3198","16.79","1.64","117.67","240V","0.115","69.47"
"2025-08-30 16:14","3195","18.86","1.84","21.45","240V","0.115","52.22"
"2025-08-29 09:22","3141","13.42","1.31","18.85","240V","0.115","47.77"
"2025-08-25 17:45","2989","24.16","0.00","13.81","Carga Rápida","0.0","65.01"
"2025-08-25 07:53","2968","18.16","1.78","15.58","240V","0.115","44.96"
"2025-08-20 17:57","2744","9.86","0.96","63.15","240V","0.115","64.43"
"2025-08-21 08:14","2744","13.66","1.34","27.79","240V","0.115","74.33"
"2025-08-20 10:36","2716","37.53","4.20","76.62","Carga Rápida","0.118","62.12"
"2025-08-20 09:29","2705","13.69","1.34","18.86","240V","0.115","34.9"
"2025-08-15 11:03","2478","13.68","1.34","20.83","240V","0.115","66.08"
"2025-08-14 11:16","2419","22.94","0.00","41.67","Carga Rápida","0.0","66.74"
"2025-08-14 10:37","2416","5.11","0.00","17.21","Carga lenta","0.0","46.2"
"2025-08-11 14:28","2271","20.85","3.76","39.25","Carga Rápida","0.19","66.41"
"2025-08-11 11:09","2259","25.85","0.00","21.25","Carga Rápida","0.0","51.32"
"2025-08-08 15:02","2072","15.15","0.00","18.63","Carga Rápida","0.0","66.5"
"2025-08-07 14:34","1997","23.64","0.00","29.50","Carga Rápida","0.0","66.08"
"2025-08-07 09:42","1969","18.88","1.85","25.27","240V","0.115","51.89"
"2025-08-04 14:08","1897","17.88","0.00","18.47","Carga Rápida","0.0","54.04"
"2025-07-28 14:47","1651","17.83","3.15","36.41","Carga lenta","0.19","82.5"
"2025-07-28 11:25","1639","22.10","0.00","75.33","Carga Rápida","0.0","70.29"
"2025-07-28 11:01","1636","11.19","0.00","11.05","Carga lenta","0.0","51.56"
"2025-07-27 19:45","1615","27.48","2.69","20.71","240V","0.115","43.48"
"2025-07-26 23:35","1460","13.40","1.31","18.64","240V","0.115","52.22"
"2025-07-24 10:44","1302","24.74","0.00","19.90","Carga Rápida","0.0","70.29"
"2025-07-20 13:09","1232","11.53","1.13","18.82","240V","0.115","60.72"
"2025-07-19 09:23","1158","11.55","1.13","18.05","240V","0.115","64.85"
"2025-07-18 10:41","1095","31.77","2.81","23.93","Carga Rápida","0.093","66.41"
"2025-07-18 08:21","1073","14.00","1.37","21.62","240V","0.115","41.5"
"2025-07-14 13:21","1021","17.98","3.18","35.00","Carga lenta","0.19","40.84"
"2025-07-14 11:26","1006","4.44","0.00","13.32","Carga lenta","0.0","29.37"
"2025-07-12 16:36","814","9.95","2.31","17.62","Carga lenta","0.25","50.82"
